Frame,Features_Detected,Features_Tracked
1,200,199
2,200,198
3,200,200
4,200,200
5,200,199
6,200,200
7,200,199
8,200,200
9,200,200
10,200,200
11,200,199
12,200,200
13,200,198
14,200,200
15,200,198
16,200,198
17,200,199
18,200,200
19,200,200
20,200,196
21,200,200
22,200,199
23,200,199
24,200,198
25,200,200
26,200,200
27,200,198
28,200,199
29,200,198
30,200,200
31,200,199
32,200,199
33,200,199
34,200,198
35,200,200
36,200,199
37,200,198
38,200,200
39,200,199
40,200,200
41,200,200
42,200,199
43,200,199
44,200,200
45,200,200
46,200,198
47,200,197
48,200,199
49,200,200
50,200,200
51,200,200
52,200,199
53,200,200
54,200,200
55,200,200
56,200,200
57,200,199
58,200,198
59,200,199
60,200,199
61,200,199
62,200,199
63,200,199
64,200,198
65,200,200
66,200,200
67,200,200
68,200,199
69,200,195
70,200,199
71,200,199
72,200,200
73,200,200
74,200,199
75,200,200
76,200,199
77,200,200
78,200,200
79,200,200
80,200,200
81,200,199
82,200,200
83,200,200
84,200,200
85,200,200
86,200,199
87,200,199
88,200,199
89,200,198
90,200,200
91,200,200
92,200,199
93,200,200
94,200,200
95,200,199
96,200,199
97,200,199
98,200,200
99,200,200
100,200,200
101,200,200
102,200,198
103,200,200
104,200,200
105,200,200
106,200,198
107,200,199
108,200,199
109,200,198
110,200,200
111,200,200
112,200,200
113,200,199
114,200,199
115,200,200
116,200,199
117,200,199
118,200,199
119,200,199
120,200,199
121,200,199
122,200,200
123,200,199
124,200,198
125,200,200
126,200,198
127,200,200
128,200,200
129,200,198
130,200,200
131,200,200
132,200,200
133,200,198
134,200,199
135,200,200
136,200,200
137,200,200
138,200,200
139,200,198
140,200,200
141,200,200
142,200,200
143,200,199
144,200,199
145,200,200
146,200,200
147,200,200
148,200,200
149,200,200
150,200,200
151,200,200
152,200,200
153,200,199
154,200,198
155,200,200
156,200,200
157,200,200
158,200,200
159,200,199
160,200,200
161,200,200
162,200,200
163,200,200
164,200,200
165,200,200
166,200,200
167,200,200
168,200,200
169,200,200
170,200,200
171,200,198
172,200,199
173,200,200
174,200,199
175,200,200
176,200,199
177,200,200
178,200,200
179,200,200
180,200,200
181,200,200
182,200,200
183,200,200
184,200,200
185,200,200
186,200,199
187,200,198
188,200,200
189,200,200
190,200,200
191,200,200
192,200,200
193,200,199
194,200,200
195,200,200
196,200,200
197,200,200
198,200,198
199,200,200
200,200,200
201,200,200
202,200,200
203,200,200
204,200,199
205,200,199
206,200,200
207,200,199
208,200,200
209,200,200
210,200,199
211,200,200
212,200,200
213,200,200
214,200,199
215,200,200
216,200,199
217,200,200
218,200,200
219,200,199
220,200,200
221,200,200
222,200,200
223,200,200
224,200,200
225,200,199
226,200,200
227,200,200
228,200,200
229,200,200
230,200,200
231,200,200
232,200,200
233,200,200
234,200,199
235,200,200
236,200,200
237,200,200
238,200,200
239,200,200
240,200,200
241,200,198
242,200,200
243,200,196
244,200,199
245,200,197
246,200,200
247,200,200
248,200,197
249,200,200
250,200,200
251,200,199
252,200,200
253,200,200
254,200,200
255,200,200
256,200,200
257,200,200
258,200,200
259,200,199
260,200,200
261,200,198
262,200,197
263,200,199
264,200,198
265,200,199
266,200,200
267,200,200
268,200,199
269,200,200
270,200,199
271,200,199
272,200,200
273,200,200
274,200,199
275,200,199
276,200,200
277,200,199
278,200,199
279,200,199
280,200,199
281,200,199
282,200,200
283,200,200
284,200,200
285,200,200
286,200,200
287,200,199
288,200,195
289,200,200
290,200,197
291,200,199
292,200,199
293,200,197
294,200,198
295,200,198
296,200,200
297,200,200
298,200,199
299,200,199
300,200,199
301,200,200
302,200,200
303,200,200
304,200,200
305,200,200
306,200,200
307,200,200
308,200,197
309,200,197
310,200,198
311,200,200
312,200,200
313,200,199
314,200,200
315,200,198
316,200,200
317,200,200
318,200,200
319,200,200
320,200,200
321,200,200
322,200,199
323,200,199
324,200,200
325,200,200
326,200,200
327,200,200
328,200,200
329,200,200
330,200,199
331,200,199
332,200,200
333,200,198
334,200,200
335,200,200
336,200,199
337,200,199
338,200,198
339,200,200
340,200,200
341,200,199
342,200,200
343,200,200
344,200,200
345,200,199
346,200,200
347,200,199
348,200,200
349,200,200
350,200,200
351,200,200
352,200,200
353,200,200
354,200,200
355,200,199
356,200,200
357,200,200
358,200,200
359,200,200
360,200,200
361,200,199
362,200,199
363,200,200
364,200,200
365,200,200
366,200,199
367,200,200
368,200,200
369,200,200
370,200,197
371,200,200
372,200,199
373,200,200
374,200,200
375,200,200
376,200,200
377,200,200
378,200,200
379,200,200
380,200,199
381,200,200
382,200,197
383,200,200
384,200,200
385,200,199
386,200,200
387,200,199
388,200,199
389,200,200
390,200,198
391,200,200
392,200,200
393,200,200
394,200,200
395,200,200
396,200,199
397,200,200
398,200,199
399,200,199
400,200,200
401,200,200
402,200,199
403,200,200
404,200,200
405,200,200
406,200,200
407,200,200
408,200,200
409,200,200
410,200,199
411,200,200
412,200,200
413,200,200
414,200,200
415,200,200
416,200,200
417,200,200
418,200,199
419,200,200
420,200,199
421,200,200
422,200,198
423,200,199
424,200,200
425,199,196
426,200,200
427,200,200
428,200,197
429,200,200
430,200,200
431,200,200
432,200,199
433,200,200
434,200,200
435,200,200
436,200,199
437,200,200
438,200,200
439,200,200
440,200,200
441,200,200
442,200,200
443,200,199
444,200,199
445,200,199
446,200,199
447,200,199
448,200,200
449,200,200
450,200,200
451,200,200
452,200,200
453,200,200
454,200,200
455,200,200
456,200,200
457,200,200
458,200,200
459,200,200
460,200,200
461,200,200
462,200,200
463,200,200
464,200,199
465,200,200
466,200,200
467,200,200
468,200,200
469,200,197
470,200,199
471,200,198
472,200,196
473,200,197
474,200,200
475,200,198
476,200,199
477,200,200
478,200,200
479,200,200
480,200,200
481,200,200
482,200,197
483,200,199
484,200,198
485,200,200
486,200,200
487,200,200
488,200,200
489,200,198
490,200,200
491,200,199
492,200,198
493,200,200
494,200,198
495,200,200
496,200,200
497,200,200
498,200,200
499,200,200
500,200,200
501,200,200
502,200,200
503,200,200
504,200,199
505,200,199
506,200,200
507,200,200
508,200,199
509,200,197
510,200,199
511,200,200
512,200,200
513,200,200
514,200,197
515,200,200
516,200,199
517,200,200
518,200,198
519,200,199
520,200,200
521,200,200
522,200,200
523,200,199
524,200,199
525,200,198
526,200,199
527,200,198
528,200,199
529,200,199
530,200,199
531,200,200
532,200,200
533,200,200
534,200,200
535,200,200
536,200,199
537,200,200
538,200,199
539,200,198
540,200,200
541,200,198
542,200,200
543,200,200
544,200,200
545,200,199
546,200,199
547,200,200
548,200,200
549,200,200
550,200,200
551,200,200
552,200,200
553,200,200
554,200,200
555,200,200
556,200,200
557,200,200
558,200,200
559,200,200
560,200,200
561,200,199
562,200,200
563,200,199
564,200,199
565,200,200
566,200,199
567,200,200
568,200,200
569,200,200
