Frame,stabilize_x,stabilize_y,cumulative_dx,cumulative_dy,smoothed_dx,smoothed_dy
1,0.112642,0.479789,-2.25284,-9.59578,-0.112642,-0.479789
2,-0.762829,1.73571,17.3968,-25.5982,0.762829,-1.73571
3,-1.54027,3.58202,16.3117,-38.6619,1.54027,-3.58202
4,-2.20863,5.98375,14.9073,-51.6167,2.20863,-5.98375
5,-2.47609,8.84081,7.55797,-63.1249,2.47609,-8.84081
6,-1.65997,11.6773,-13.8464,-65.5712,1.65997,-11.6773
7,1.04615,14.2768,-52.4625,-63.6677,-1.04615,-14.2768
8,4.40644,17.104,-68.2519,-70.8208,-4.40644,-17.104
9,8.40718,20.5431,-84.4214,-85.8849,-8.40718,-20.5431
10,13.6419,25.0893,-113.102,-111.468,-13.6419,-25.0893
11,19.272,29.7225,-126.243,-117.754,-19.272,-29.7225
12,24.8829,33.2881,-131.49,-101.034,-24.8829,-33.2881
13,30.149,35.8537,-130.204,-84.6006,-30.149,-35.8537
14,35.0483,37.6208,-128.135,-71.1958,-35.0483,-37.6208
15,39.9311,38.3815,-132.704,-52.8332,-39.9311,-38.3814
16,44.8681,39.0804,-138.671,-52.361,-44.8681,-39.0804
17,49.4662,39.5121,-136.83,-47.7129,-49.4662,-39.5121
18,53.1693,39.3905,-123.529,-37.0802,-53.1693,-39.3905
19,55.9803,38.7385,-109.389,-26.3508,-55.9803,-38.7385
20,57.7203,37.9118,-90.7806,-22.205,-57.7203,-37.9118
21,59.4081,37.391,-91.4769,-27.4955,-59.4081,-37.391
22,62.2848,37.4496,-116.941,-38.5633,-62.2848,-37.4496
23,65.6631,37.9759,-129.852,-47.9753,-65.6631,-37.9759
24,70.03,39.5089,-153.001,-68.6369,-70.03,-39.5089
25,75.2605,41.7407,-174.639,-84.1437,-75.2605,-41.7407
26,81.269,44.8433,-195.43,-103.793,-81.2689,-44.8433
27,86.8835,49.2834,-193.561,-133.646,-86.8835,-49.2834
28,91.9407,54.2411,-188.028,-148.438,-91.9407,-54.2411
29,97.0896,60.0846,-194.918,-171.111,-97.0896,-60.0846
30,102.474,66.238,-204.786,-183.153,-102.474,-66.238
31,108.085,72.8793,-214.687,-199.063,-108.085,-72.8793
32,114.751,81.0342,-241.394,-235.978,-114.751,-81.0342
33,121.514,89.5324,-250.023,-250.997,-121.514,-89.5324
34,129.177,98.8999,-274.775,-276.883,-129.177,-98.8999
35,136.334,107.658,-272.308,-274.061,-136.334,-107.658
36,143.288,115.819,-275.427,-270.87,-143.288,-115.819
37,150.429,123.344,-286.093,-266.336,-150.429,-123.344
38,157.559,130.432,-293.036,-265.094,-157.559,-130.432
39,164.831,137.319,-302.989,-268.168,-164.831,-137.319
40,171.966,143.74,-307.543,-265.741,-171.966,-143.74
41,178.993,149.679,-312.512,-262.515,-178.993,-149.679
42,186.176,155.397,-322.638,-264.047,-186.176,-155.397
43,193.773,161.131,-338.129,-270.071,-193.773,-161.131
44,202.068,167.299,-359.671,-284.504,-202.068,-167.299
45,210.205,173.36,-364.795,-288.52,-210.205,-173.36
46,218.236,179.466,-370.836,-295.462,-218.236,-179.466
47,225.589,186.187,-365.288,-313.903,-225.589,-186.187
48,232.103,192.967,-355.875,-321.777,-232.103,-192.967
49,238.263,200.369,-355.309,-341.015,-238.263,-200.369
50,244.252,207.697,-358.034,-346.927,-244.252,-207.697
51,250.31,214.644,-365.42,-346.627,-250.31,-214.644
52,256.983,220.838,-383.764,-338.536,-256.983,-220.838
53,263.939,226.621,-396.099,-336.484,-263.939,-226.621
54,271.611,232.745,-417.384,-349.111,-271.611,-232.745
55,279.263,239.051,-424.647,-358.859,-279.263,-239.051
56,286.864,245.503,-431.279,-368.096,-286.864,-245.503
57,295.076,251.9,-451.113,-373.446,-295.076,-251.9
58,300,257.899,-467.804,-371.879,-300,-257.899
59,300,262.672,-498.152,-353.363,-300,-262.672
60,300,266.894,-517.358,-347.107,-300,-266.894
61,300,270.632,-532.512,-341.648,-300,-270.632
62,300,274.278,-570.792,-343.563,-300,-274.278
63,300,277.732,-584.236,-343.345,-300,-277.732
64,300,280.935,-616.207,-341.804,-300,-280.935
65,300,284.429,-630.907,-350.799,-300,-284.429
66,300,288.084,-639.581,-357.529,-300,-288.084
67,300,292.488,-677.617,-376.182,-300,-292.489
68,300,297.153,-693.891,-385.788,-300,-297.153
69,300,300,-703.178,-406.748,-300,-300
70,300,300,-714.243,-424.349,-300,-300
71,300,300,-717.049,-439.216,-300,-300
72,300,300,-728.656,-469.828,-300,-300
73,300,300,-741.225,-488.219,-300,-300
