Frame,Processing_Time_ms
1,127.4
2,51.5414
3,44.2573
4,43.4697
5,46.7342
6,38.2364
7,45.1088
8,44.3066
9,42.7344
10,39.875
11,45.972
12,41.2948
13,41.493
14,39.9628
15,49.4615
16,40.6245
17,44.4784
18,40.8076
19,40.1361
20,40.1451
21,44.5666
22,37.8604
23,41.3677
24,39.3521
25,40.8901
26,51.8179
27,50.0582
28,45.3567
29,48.1431
30,43.602
31,43.5756
32,42.7796
33,50.3615
34,45.7429
35,50.9377
36,43.1927
37,44.496
38,40.4974
39,41.7049
40,44.1813
41,40.8327
42,40.9294
43,43.616
44,39.7555
45,41.0983
46,43.7019
47,42.6906
48,38.2395
49,43.0472
50,40.2389
51,42.1712
52,38.8254
53,47.4496
54,39.4068
55,40.2828
56,40.6787
57,41.8482
58,41.0961
59,44.1288
60,45.8662
61,39.6825
62,39.2487
63,41.1989
64,45.6609
65,49.8229
66,41.8752
67,44.6623
68,40.9808
69,44.5969
70,40.1066
71,42.5484
72,42.0416
73,45.1531
74,41.1226
75,42.7177
76,39.5083
77,46.9653
78,42.7154
79,46.94
80,43.7962
81,47.392
82,42.1489
83,50.4227
84,40.5164
85,42.7563
86,42.8766
87,45.8554
88,45.0594
89,44.0421
90,40.6322
91,40.6787
92,43.0357
93,41.1006
94,41.5033
95,41.0677
96,38.9367
97,40.8074
98,40.0019
99,46.5481
100,39.7687
101,41.927
102,40.5192
103,42.2228
104,42.148
105,48.8265
106,40.3512
107,40.2043
108,40.6919
109,39.4755
110,43.7887
111,43.1917
112,38.4921
113,42.2829
114,40.5665
115,40.597
116,44.5288
117,44.4826
118,41.7655
119,46.6286
120,40.9972
121,46.572
122,41.4726
123,46.2184
124,41.3074
125,48.7709
126,48.5187
127,45.1399
128,40.5876
129,45.9233
130,42.974
131,42.9665
132,43.3494
133,42.7457
134,39.5087
135,45.6255
136,44.7706
137,43.1405
138,38.4798
139,42.8718
140,37.7402
141,45.8096
142,42.6452
143,42.3749
144,39.4606
145,42.6643
146,43.817
147,39.68
148,40.4052
149,43.7309
150,39.6974
151,50.8255
152,38.8467
153,43.5013
154,41.0031
155,41.6255
156,44.3769
157,42.0545
158,37.0268
159,43.6406
160,43.7319
161,41.0504
162,39.3483
163,42.147
164,40.721
165,42.2211
166,42.6675
167,45.383
168,52.4435
169,47.8701
170,46.1063
171,48.4456
172,42.7189
173,47.9797
174,47.0208
175,45.3375
176,42.1067
177,48.6338
178,45.6323
179,47.5871
180,40.3948
181,41.2906
182,39.5094
183,43.1298
184,43.6601
185,41.6373
186,41.7163
187,39.0762
188,40.9762
189,47.2836
190,39.5
191,44.8634
192,41.3406
193,46.833
194,39.1955
195,41.4414
196,39.6415
197,41.7963
198,45.6944
199,40.8734
200,39.1008
201,43.7735
202,38.0467
203,45.8026
204,39.7106
205,41.1567
206,40.7318
207,46.1085
208,38.3704
209,41.2233
210,40.2897
211,42.4128
212,39.7788
213,47.1427
214,39.3649
215,44.8462
216,45.5046
217,46.0458
218,42.0269
219,41.9668
220,41.5117
221,46.9563
222,45.0232
223,45.324
224,42.9599
225,46.6095
226,42.8507
227,47.295
228,43.6571
229,45.761
230,42.3147
231,54.368
232,42.5317
233,45.6499
234,43.503
235,47.6308
236,49.669
237,45.9017
238,45.6034
239,47.977
